,ca_au,ca_nz,ca_uk,ca_us,au_nz,au_uk,au_us,nz_uk,nz_us,uk_us,mixed_ca,mixed_au,mixed_nz,mixed_uk,mixed_us,za_mixed,za_ca,za_au,za_nz,za_uk,za_us,base_mixed,base_ca,base_au,base_nz,base_uk,base_us,base_za
54,7.2329799768079885,7.510112104656499,4.890312030837127,2.5351917772832624,7.322886954530934,7.641183394897408,8.39668663495815,3.186587870602822,6.563814468363137,3.4569298505018056,3.14584234892206,4.181414329975206,5.937314635616477,4.55101979804515,4.353219439339622,3.3653787836376132,4.56582259978599,6.184899124842531,2.9550754225539437,1.503627390473945,3.9062662749396897,24.505069084284244,24.077044327309363,25.78652185694769,24.532453661002346,24.498267263296782,25.08031329312006,24.252168452208416
55,7.055615975588093,6.551091733860131,7.036812532546119,2.284639598281266,5.920247240880552,1.422473530172132,4.845192711672629,7.110761573218893,5.006164943701338,5.025052005535413,3.319004794049136,4.086634600328274,4.234667277029438,4.516914034086963,1.1775491006773358,4.314164542020288,3.6699824821409663,6.138074487746026,8.541916223335093,5.430084757270302,3.6911039544824575,26.882033315082857,27.61992866347832,27.69277235260881,27.35187074033305,27.935895544918594,27.482538351422384,27.104525371489405
56,4.231232330743401,5.718967858913395,3.2015323632722703,4.794122889847523,7.174844123379572,4.330002612357534,8.913947763456942,3.324058615237889,8.341231634549699,7.007760837313886,2.762711430444653,4.021443385109814,8.319812198542472,5.501695435040717,5.89361543712807,4.579974781454031,1.896703191943081,4.72349602518872,3.82548615138139,1.8114592458007717,5.524409108898184,23.529698911680175,23.57566823653409,24.212572828548385,24.067578894762658,24.79308277738478,24.526195087690375,23.648640022086273
57,3.4673183945755133,7.402128796309831,1.9476789888952368,5.895936504234815,5.996712492060551,4.07082604193711,7.379023799246276,6.410682178271855,5.732947283342763,4.189035475385277,5.248007130007718,2.2402689065094785,4.328883452563532,5.167928696560314,7.365376370002326,5.9112845478807605,5.224799314454164,6.118052752456399,4.439636485507853,3.528900916045414,1.4926680197838271,26.090538546721127,25.237925272853282,25.70054333110919,25.614571139484855,26.166900399566796,26.24885493494012,26.14726111798376
58,6.736319043683027,5.339229231525252,2.8899610022327415,7.911508785554114,2.4593892224594898,4.7273132136058456,4.635924878020499,2.7120509236673715,6.515097736501359,7.4835138200666185,6.154505323793953,2.099310099953598,3.7400084266354456,5.006762338597576,2.7802162498675225,5.956074837198976,5.373420852544621,7.837871044093454,8.125121150931326,7.058267961152817,5.507810058689735,23.288197938624233,23.678779209468043,23.194782427131223,23.59467859581796,23.889792145457445,23.662529337897645,24.186865951006535
59,7.024875685358285,6.760066401411429,5.805535276618862,1.7507968410342694,6.761010078611837,3.6387741018420177,5.653186337001331,3.1598353246246065,7.051176391136995,5.294214278393121,4.920551922386796,8.553069600331078,3.602788006450815,5.3009028189117835,6.0528304891933855,4.211171934785741,6.19192731132468,5.484116995107025,1.505111661640526,2.074263273940772,6.202685852231824,25.159804325209585,24.60783033937489,25.62081306224384,25.248318443775645,25.439528128384147,24.81963678446104,24.464452763287305
60,1.8542908458203406,1.599927535753411,3.5087912802283223,3.8904164056656536,2.730198490334751,4.092406934720962,3.8623691515197405,1.960305365730033,5.489124294422255,7.368544545865546,4.495707057222642,5.508704181359124,5.801107255450886,7.653804140408177,3.0805394804890116,6.199541709133253,6.539182389369879,8.260495032601078,6.2858955562462455,6.912729027446448,8.563935700359725,26.28998413953787,25.755156725581976,26.77417975502045,25.538964214443,25.958250037112823,26.5462648343323,25.756088148894825
61,6.2762222480164755,6.850489515328856,3.7862888798654932,6.928486113799478,2.659610949860419,6.041205629708989,7.712236803787626,5.023990623180288,5.657559917431358,3.22837630078526,3.983588363808525,2.317570401830224,3.6371511692970144,4.466544272792202,6.920176194212616,5.679945364168374,7.499208874088393,5.47483983489254,3.016229802464903,4.454601629751371,3.3386578013159474,25.131773834971096,24.925210145308075,25.16219366396707,25.404870073088215,25.52985246381839,25.5554104288866,24.737384281454023
62,6.533453431231537,5.849900066834596,6.174119955548411,5.442201596690223,4.5001670657849795,1.2913374889352782,5.520942754966703,3.279072829908724,8.396683032029065,6.273517905893889,2.15476755147529,4.507844967314953,4.991877899866963,4.321551237892719,4.106907078557629,3.026129278816165,2.076774023865094,6.719207190081333,4.949812990370768,6.009742575614793,6.95413872304144,23.895654836989685,23.080839037796395,25.011373506080556,24.106141069650427,25.029572250892485,24.284540349916846,24.249778206476964
63,6.661367601103123,6.166284443613949,6.022705699760462,1.429713378182726,5.029249160499776,6.194553850536318,6.084296254742374,1.3797880312584356,6.552034844038953,6.691595745129337,2.1998970977697714,7.4504916219325805,5.295978770240683,4.764414849075661,3.3753332096037436,2.5685235059854628,4.259588587482879,7.428953168543457,3.8758119026298847,2.8482766699145676,5.394856920786861,26.04662713870265,25.19728649515019,25.60881917575186,26.543786940394355,26.277161875700596,25.687862775746783,25.42272844104791
64,7.822192603018666,5.050775015494418,3.1924923497869986,3.2799429123321913,3.4491303709932954,7.059478571036004,5.154254908591741,3.662151078199745,3.2223269606224445,4.247540663779902,3.795763383367652,7.185666129979389,5.77645628148978,6.127305224290843,2.5608047442869055,3.062753245722246,6.186514202214629,5.603257310959698,5.845677332581655,7.76698380440405,3.573150753643999,25.817589837728786,24.87628812244951,25.089947084238243,25.558058775676233,25.691680620157175,25.649391459483923,25.33888766824096
65,3.2362081956378326,5.962784645148017,6.351940927354667,3.502739178607885,5.528593737521798,8.038250234872631,6.337828810041045,5.304082470271677,7.5287976255940725,5.000402385419725,0.7670422601807441,3.5898582134986294,6.441415480278859,6.342335638161987,2.9834338327601775,2.2430669077311864,2.5964255315119904,5.6148365552441755,6.801799869229852,4.949904522385225,1.1267487054824787,25.79378100562646,25.277982554613406,26.67468737812297,26.001884022010767,26.89051365253085,26.428217697755873,25.58485776127865
66,3.4391481838879976,6.981806440278375,5.479737908506752,8.37279193221328,4.415708704804173,2.3337691276535977,6.5123255500077635,2.3045749943590423,9.159205320350344,7.209024410641232,1.5768870894599227,3.1560607968562993,7.352297010897863,5.464111875162037,7.119895298286422,3.530555273392911,4.010440148924797,1.6625112565562545,4.855479160128497,2.853188704438094,5.327917500500788,24.21032383133699,23.59323216246769,24.305296265069483,23.860024664082033,24.268809307759838,24.401852953378967,23.143678565367477
