,baseline,5-mixed,CA,AU,NZ,UK,US,ZA
0,0.82,0.84,0.835,0.8,0.755,0.82,0.845,0.83
1,0.865,0.825,0.835,0.8,0.78,0.805,0.82,0.83
2,0.88,0.85,0.86,0.805,0.78,0.81,0.82,0.84
3,0.9,0.87,0.855,0.795,0.77,0.815,0.87,0.835
4,0.835,0.835,0.865,0.795,0.78,0.805,0.845,0.825
5,0.83,0.845,0.845,0.805,0.775,0.815,0.83,0.845
6,0.79,0.84,0.86,0.805,0.785,0.81,0.85,0.83
7,0.82,0.845,0.855,0.795,0.755,0.8,0.81,0.83
8,0.865,0.825,0.845,0.785,0.745,0.83,0.84,0.82
9,0.855,0.83,0.88,0.79,0.785,0.84,0.84,0.835
10,0.86,0.835,0.855,0.79,0.775,0.79,0.815,0.825
11,0.855,0.845,0.835,0.77,0.76,0.81,0.835,0.82
12,0.84,0.82,0.86,0.79,0.785,0.835,0.83,0.83
13,0.86,0.83,0.84,0.78,0.765,0.81,0.82,0.84
14,0.82,0.835,0.83,0.78,0.79,0.8,0.815,0.82
15,0.86,0.87,0.85,0.805,0.77,0.81,0.855,0.83
16,0.835,0.85,0.885,0.785,0.77,0.805,0.83,0.855
17,0.845,0.83,0.86,0.78,0.79,0.81,0.845,0.83
18,0.885,0.85,0.86,0.805,0.785,0.8,0.855,0.835
19,0.82,0.845,0.88,0.785,0.77,0.81,0.835,0.83
20,0.78,0.85,0.845,0.805,0.81,0.8,0.82,0.85
21,0.815,0.85,0.855,0.81,0.795,0.805,0.82,0.845
22,0.84,0.845,0.85,0.8,0.8,0.825,0.81,0.85
23,0.86,0.81,0.855,0.79,0.775,0.785,0.82,0.855
24,0.845,0.825,0.865,0.795,0.77,0.82,0.84,0.835
