,baseline,5-mixed,CA,AU,NZ,UK,US,ZA
0,0.82,0.77,0.815,0.805,0.78,0.855,0.835,0.845
1,0.865,0.745,0.825,0.805,0.81,0.85,0.84,0.845
2,0.88,0.76,0.82,0.805,0.795,0.865,0.83,0.855
3,0.9,0.785,0.835,0.8,0.775,0.845,0.87,0.855
4,0.835,0.785,0.845,0.81,0.8,0.835,0.85,0.85
5,0.83,0.76,0.835,0.825,0.795,0.835,0.85,0.85
6,0.79,0.75,0.805,0.81,0.805,0.845,0.87,0.845
7,0.82,0.74,0.835,0.805,0.785,0.825,0.835,0.85
8,0.865,0.78,0.845,0.81,0.775,0.835,0.855,0.84
9,0.855,0.765,0.84,0.815,0.805,0.825,0.86,0.85
10,0.86,0.76,0.8,0.79,0.81,0.825,0.825,0.845
11,0.855,0.755,0.815,0.815,0.8,0.835,0.835,0.845
12,0.84,0.76,0.835,0.8,0.815,0.815,0.84,0.845
13,0.86,0.755,0.8,0.8,0.805,0.81,0.835,0.86
14,0.82,0.72,0.785,0.805,0.815,0.845,0.825,0.835
15,0.86,0.805,0.855,0.82,0.795,0.825,0.86,0.85
16,0.835,0.795,0.85,0.815,0.78,0.84,0.85,0.87
17,0.845,0.765,0.835,0.81,0.79,0.83,0.835,0.845
18,0.885,0.805,0.845,0.825,0.81,0.825,0.835,0.855
19,0.82,0.765,0.83,0.785,0.795,0.845,0.85,0.845
20,0.78,0.77,0.83,0.81,0.805,0.83,0.82,0.865
21,0.815,0.79,0.805,0.805,0.785,0.825,0.84,0.86
22,0.84,0.775,0.815,0.805,0.81,0.83,0.84,0.87
23,0.86,0.77,0.84,0.795,0.8,0.82,0.825,0.87
24,0.845,0.775,0.845,0.795,0.785,0.85,0.845,0.845
