,baseline,5-mixed,CA,AU,NZ,UK,US,ZA
0,0.82,0.845,0.84,0.78,0.785,0.83,0.865,0.845
1,0.865,0.84,0.81,0.83,0.82,0.845,0.865,0.845
2,0.88,0.86,0.805,0.82,0.8,0.835,0.845,0.855
3,0.9,0.84,0.82,0.825,0.79,0.84,0.86,0.855
4,0.835,0.85,0.81,0.825,0.795,0.835,0.86,0.845
5,0.83,0.86,0.825,0.805,0.8,0.825,0.855,0.845
6,0.79,0.855,0.805,0.835,0.81,0.84,0.84,0.835
7,0.82,0.835,0.81,0.825,0.795,0.83,0.88,0.84
8,0.865,0.86,0.815,0.81,0.795,0.825,0.855,0.84
9,0.855,0.85,0.825,0.835,0.81,0.83,0.86,0.835
10,0.86,0.855,0.81,0.815,0.81,0.815,0.855,0.84
11,0.855,0.835,0.8,0.81,0.8,0.84,0.86,0.83
12,0.84,0.855,0.81,0.81,0.82,0.825,0.875,0.835
13,0.86,0.845,0.81,0.805,0.81,0.835,0.875,0.85
14,0.82,0.835,0.81,0.825,0.81,0.83,0.86,0.835
15,0.86,0.845,0.825,0.83,0.8,0.84,0.85,0.84
16,0.835,0.845,0.825,0.825,0.785,0.825,0.845,0.865
17,0.845,0.85,0.815,0.84,0.805,0.805,0.855,0.84
18,0.885,0.85,0.82,0.805,0.81,0.83,0.85,0.85
19,0.82,0.835,0.83,0.81,0.81,0.82,0.85,0.84
20,0.78,0.84,0.79,0.825,0.815,0.815,0.875,0.865
21,0.815,0.865,0.82,0.81,0.805,0.84,0.83,0.84
22,0.84,0.835,0.795,0.81,0.82,0.845,0.87,0.855
23,0.86,0.83,0.81,0.82,0.81,0.825,0.86,0.865
24,0.845,0.835,0.83,0.805,0.805,0.83,0.865,0.84
