,baseline,5-mixed,CA,AU,NZ,UK,US,ZA
0,0.82,0.83,0.79,0.82,0.77,0.8,0.825,0.83
1,0.865,0.83,0.78,0.85,0.8,0.805,0.845,0.845
2,0.88,0.86,0.79,0.85,0.785,0.805,0.84,0.84
3,0.9,0.85,0.785,0.84,0.785,0.81,0.85,0.84
4,0.835,0.85,0.8,0.83,0.775,0.815,0.83,0.82
5,0.83,0.865,0.815,0.845,0.78,0.83,0.835,0.835
6,0.79,0.865,0.815,0.85,0.765,0.805,0.835,0.825
7,0.82,0.855,0.785,0.845,0.755,0.8,0.815,0.83
8,0.865,0.835,0.805,0.835,0.745,0.81,0.81,0.82
9,0.855,0.875,0.8,0.875,0.785,0.825,0.815,0.83
10,0.86,0.845,0.785,0.845,0.785,0.81,0.81,0.825
11,0.855,0.845,0.795,0.855,0.775,0.805,0.83,0.815
12,0.84,0.835,0.79,0.855,0.79,0.785,0.835,0.825
13,0.86,0.865,0.8,0.835,0.77,0.805,0.845,0.83
14,0.82,0.84,0.785,0.845,0.79,0.795,0.82,0.815
15,0.86,0.835,0.785,0.855,0.77,0.815,0.83,0.825
16,0.835,0.86,0.79,0.85,0.765,0.82,0.81,0.86
17,0.845,0.87,0.78,0.835,0.785,0.795,0.835,0.84
18,0.885,0.865,0.795,0.85,0.785,0.83,0.795,0.845
19,0.82,0.85,0.775,0.85,0.785,0.81,0.805,0.835
20,0.78,0.855,0.775,0.84,0.79,0.8,0.835,0.845
21,0.815,0.84,0.805,0.865,0.79,0.815,0.845,0.845
22,0.84,0.83,0.785,0.835,0.79,0.805,0.815,0.85
23,0.86,0.845,0.79,0.855,0.77,0.81,0.83,0.845
24,0.845,0.855,0.78,0.86,0.775,0.825,0.835,0.83
