,baseline,5-mixed,CA,AU,NZ,UK,US,ZA
0,0.82,0.79,0.825,0.8,0.8,0.765,0.815,0.83
1,0.865,0.78,0.815,0.805,0.84,0.77,0.815,0.83
2,0.88,0.775,0.815,0.825,0.82,0.795,0.84,0.83
3,0.9,0.81,0.84,0.825,0.82,0.81,0.815,0.835
4,0.835,0.795,0.84,0.815,0.815,0.77,0.83,0.82
5,0.83,0.79,0.835,0.795,0.815,0.795,0.815,0.835
6,0.79,0.795,0.86,0.81,0.805,0.785,0.84,0.825
7,0.82,0.805,0.82,0.82,0.805,0.755,0.825,0.83
8,0.865,0.795,0.83,0.79,0.79,0.79,0.8,0.82
9,0.855,0.82,0.83,0.815,0.82,0.785,0.835,0.83
10,0.86,0.77,0.82,0.805,0.82,0.75,0.81,0.825
11,0.855,0.78,0.825,0.815,0.815,0.77,0.795,0.815
12,0.84,0.78,0.84,0.815,0.83,0.75,0.81,0.825
13,0.86,0.78,0.845,0.8,0.815,0.77,0.805,0.83
14,0.82,0.785,0.795,0.82,0.835,0.775,0.8,0.815
15,0.86,0.76,0.84,0.795,0.815,0.78,0.825,0.82
16,0.835,0.76,0.84,0.805,0.815,0.79,0.835,0.845
17,0.845,0.8,0.85,0.835,0.825,0.76,0.8,0.835
18,0.885,0.78,0.835,0.785,0.825,0.805,0.84,0.835
19,0.82,0.775,0.82,0.82,0.81,0.765,0.81,0.825
20,0.78,0.79,0.83,0.82,0.825,0.77,0.84,0.845
21,0.815,0.81,0.85,0.83,0.815,0.79,0.8,0.845
22,0.84,0.795,0.825,0.825,0.835,0.77,0.82,0.85
23,0.86,0.77,0.84,0.81,0.815,0.78,0.815,0.85
24,0.845,0.8,0.85,0.815,0.8,0.795,0.85,0.83
