,baseline,5-mixed,CA,AU,NZ,UK,US,ZA
0,0.82,0.81,0.815,0.81,0.775,0.825,0.805,0.84
1,0.865,0.8,0.8,0.81,0.8,0.835,0.805,0.835
2,0.88,0.82,0.815,0.805,0.805,0.855,0.815,0.835
3,0.9,0.805,0.81,0.83,0.795,0.825,0.81,0.84
4,0.835,0.805,0.825,0.825,0.8,0.825,0.795,0.83
5,0.83,0.845,0.83,0.805,0.8,0.835,0.84,0.84
6,0.79,0.81,0.835,0.81,0.82,0.855,0.82,0.835
7,0.82,0.805,0.815,0.79,0.79,0.825,0.82,0.835
8,0.865,0.82,0.82,0.815,0.78,0.82,0.8,0.825
9,0.855,0.84,0.835,0.815,0.815,0.83,0.8,0.83
10,0.86,0.815,0.815,0.785,0.81,0.835,0.82,0.82
11,0.855,0.83,0.83,0.79,0.805,0.81,0.805,0.825
12,0.84,0.815,0.835,0.78,0.815,0.82,0.805,0.83
13,0.86,0.82,0.82,0.785,0.805,0.815,0.82,0.84
14,0.82,0.825,0.82,0.78,0.8,0.82,0.825,0.825
15,0.86,0.81,0.83,0.81,0.795,0.815,0.82,0.835
16,0.835,0.81,0.84,0.805,0.79,0.815,0.825,0.845
17,0.845,0.8,0.81,0.8,0.8,0.825,0.815,0.845
18,0.885,0.825,0.825,0.79,0.815,0.83,0.81,0.84
19,0.82,0.79,0.82,0.785,0.795,0.815,0.825,0.835
20,0.78,0.84,0.815,0.795,0.825,0.825,0.795,0.85
21,0.815,0.845,0.855,0.85,0.81,0.82,0.82,0.845
22,0.84,0.835,0.825,0.79,0.825,0.82,0.795,0.855
23,0.86,0.83,0.84,0.8,0.8,0.82,0.81,0.86
24,0.845,0.82,0.83,0.825,0.795,0.815,0.805,0.835
