,baseline,5-mixed,CA,AU,NZ,UK,US,ZA
0,0.82,0.81,0.83,0.81,0.77,0.83,0.81,0.835
1,0.865,0.845,0.835,0.82,0.785,0.82,0.815,0.835
2,0.88,0.865,0.81,0.8,0.78,0.86,0.835,0.84
3,0.9,0.845,0.825,0.795,0.76,0.83,0.835,0.835
4,0.835,0.83,0.83,0.815,0.785,0.84,0.81,0.835
5,0.83,0.85,0.805,0.835,0.765,0.835,0.825,0.84
6,0.79,0.86,0.81,0.83,0.765,0.85,0.815,0.83
7,0.82,0.825,0.815,0.82,0.76,0.845,0.82,0.835
8,0.865,0.83,0.815,0.815,0.76,0.855,0.81,0.825
9,0.855,0.87,0.83,0.825,0.785,0.825,0.815,0.835
10,0.86,0.84,0.81,0.81,0.775,0.835,0.83,0.825
11,0.855,0.83,0.815,0.82,0.76,0.85,0.825,0.835
12,0.84,0.815,0.795,0.81,0.79,0.835,0.82,0.825
13,0.86,0.825,0.815,0.815,0.78,0.845,0.81,0.84
14,0.82,0.82,0.775,0.815,0.775,0.83,0.82,0.815
15,0.86,0.82,0.815,0.815,0.755,0.84,0.82,0.83
16,0.835,0.81,0.835,0.825,0.77,0.845,0.825,0.86
17,0.845,0.805,0.81,0.84,0.79,0.84,0.805,0.84
18,0.885,0.84,0.835,0.815,0.77,0.825,0.82,0.845
19,0.82,0.82,0.825,0.81,0.765,0.84,0.825,0.835
20,0.78,0.815,0.795,0.79,0.785,0.825,0.825,0.855
21,0.815,0.825,0.815,0.825,0.78,0.84,0.83,0.845
22,0.84,0.825,0.81,0.825,0.79,0.855,0.84,0.85
23,0.86,0.835,0.81,0.8,0.78,0.845,0.805,0.855
24,0.845,0.83,0.825,0.8,0.77,0.835,0.81,0.835
