,baseline,5-mixed,CA,AU,NZ,UK,US,ZA
0,0.8090909090909091,0.8571428571428571,0.8367346938775511,0.7368421052631579,0.6847826086956522,0.8378378378378378,0.845360824742268,0.7938144329896907
1,0.8315789473684211,0.872093023255814,0.8260869565217391,0.8137254901960784,0.7303370786516854,0.8482142857142857,0.8602150537634409,0.8
2,0.9217391304347826,0.9047619047619048,0.8241758241758241,0.8229166666666666,0.7078651685393258,0.8454545454545455,0.8387096774193549,0.8105263157894737
3,0.8962264150943396,0.8478260869565217,0.8229166666666666,0.794392523364486,0.6804123711340206,0.8407079646017699,0.84375,0.8041237113402062
4,0.8118811881188119,0.8586956521739131,0.8191489361702128,0.794392523364486,0.6914893617021277,0.8454545454545455,0.84375,0.7878787878787878
5,0.8055555555555556,0.8777777777777778,0.8118811881188119,0.7757009345794392,0.6907216494845361,0.8363636363636363,0.8571428571428571,0.7938144329896907
6,0.8222222222222222,0.8764044943820225,0.8314606741573034,0.8282828282828283,0.7294117647058823,0.8666666666666667,0.8444444444444444,0.7894736842105263
7,0.7731958762886598,0.8539325842696629,0.8061224489795918,0.8118811881188119,0.7045454545454546,0.8504672897196262,0.8723404255319149,0.7916666666666666
8,0.8558558558558559,0.8695652173913043,0.7961165048543689,0.7830188679245284,0.7,0.8245614035087719,0.8421052631578947,0.78
9,0.8315789473684211,0.8837209302325582,0.8247422680412371,0.8155339805825242,0.7142857142857143,0.8378378378378378,0.851063829787234,0.7894736842105263
10,0.8378378378378378,0.9135802469135802,0.8260869565217391,0.801980198019802,0.7349397590361446,0.8529411764705882,0.8571428571428571,0.7978723404255319
11,0.8611111111111112,0.8539325842696629,0.7843137254901961,0.7777777777777778,0.6989247311827957,0.8347826086956521,0.8367346938775511,0.7647058823529411
12,0.7941176470588235,0.8941176470588236,0.8061224489795918,0.7830188679245284,0.7252747252747253,0.8303571428571429,0.8631578947368421,0.7835051546391752
13,0.8349514563106796,0.8571428571428571,0.7884615384615384,0.7864077669902912,0.7191011235955056,0.8333333333333334,0.8556701030927835,0.8020833333333334
14,0.8557692307692307,0.8705882352941177,0.8125,0.8181818181818182,0.7241379310344828,0.8440366972477065,0.851063829787234,0.7777777777777778
15,0.8761904761904762,0.8651685393258427,0.8247422680412371,0.8018867924528302,0.6989247311827957,0.8290598290598291,0.82,0.78
16,0.797979797979798,0.8571428571428571,0.8539325842696629,0.8181818181818182,0.6888888888888889,0.8490566037735849,0.8461538461538461,0.8279569892473119
17,0.8787878787878788,0.9024390243902439,0.8505747126436781,0.851063829787234,0.7317073170731707,0.8365384615384616,0.8823529411764706,0.8043478260869565
18,0.9207920792079208,0.8666666666666667,0.8229166666666666,0.780952380952381,0.7142857142857143,0.8260869565217391,0.8333333333333334,0.8020833333333334
19,0.8297872340425532,0.8620689655172413,0.8555555555555555,0.8061224489795918,0.7294117647058823,0.8476190476190476,0.8555555555555555,0.8043478260869565
20,0.7613636363636364,0.8902439024390244,0.8255813953488372,0.8315789473684211,0.7380952380952381,0.8461538461538461,0.8876404494382022,0.8279569892473119
21,0.7903225806451613,0.8484848484848485,0.803921568627451,0.7727272727272727,0.7021276595744681,0.8347826086956521,0.8125,0.7916666666666666
22,0.8854166666666666,0.8705882352941177,0.8131868131868132,0.8,0.7411764705882353,0.8823529411764706,0.8777777777777778,0.8041237113402062
23,0.8598130841121495,0.8522727272727273,0.8125,0.803921568627451,0.7096774193548387,0.8490566037735849,0.8586956521739131,0.8279569892473119
24,0.8105263157894737,0.8387096774193549,0.8404255319148937,0.7706422018348624,0.7065217391304348,0.8440366972477065,0.8602150537634409,0.7857142857142857
