,baseline,5-mixed,CA,AU,NZ,UK,US,ZA
0,0.78125,0.7699115044247787,0.7528089887640449,0.8155339805825242,0.7642276422764228,0.7640449438202247,0.77,0.8632478632478633
1,0.8545454545454545,0.7876106194690266,0.7865168539325843,0.8737864077669902,0.8048780487804879,0.8089887640449438,0.83,0.8728813559322034
2,0.8860759493670886,0.8230088495575221,0.8426966292134831,0.8932038834951457,0.8048780487804879,0.8314606741573034,0.84,0.8717948717948718
3,0.8854166666666666,0.7876106194690266,0.7865168539325843,0.8155339805825242,0.7642276422764228,0.797752808988764,0.81,0.8849557522123894
4,0.8173076923076923,0.7964601769911505,0.7865168539325843,0.8252427184466019,0.7560975609756098,0.8202247191011236,0.79,0.8672566371681416
5,0.79,0.8230088495575221,0.7865168539325843,0.8543689320388349,0.7642276422764228,0.8426966292134831,0.8,0.8706896551724138
6,0.84,0.8495575221238938,0.8202247191011236,0.8737864077669902,0.7723577235772358,0.8202247191011236,0.83,0.8559322033898306
7,0.8018018018018018,0.8407079646017699,0.7752808988764045,0.8737864077669902,0.7560975609756098,0.8089887640449438,0.81,0.8632478632478633
8,0.8297872340425532,0.7787610619469026,0.7752808988764045,0.8446601941747572,0.7479674796747967,0.8089887640449438,0.76,0.8672566371681416
9,0.8518518518518519,0.8584070796460177,0.7865168539325843,0.9029126213592233,0.7886178861788617,0.8426966292134831,0.8,0.8571428571428571
10,0.8144329896907216,0.8141592920353983,0.8089887640449438,0.8932038834951457,0.8048780487804879,0.8426966292134831,0.79,0.8559322033898306
11,0.8387096774193549,0.7876106194690266,0.7640449438202247,0.8932038834951457,0.7723577235772358,0.7865168539325843,0.76,0.8727272727272727
12,0.8055555555555556,0.7964601769911505,0.7640449438202247,0.8543689320388349,0.7886178861788617,0.7865168539325843,0.79,0.868421052631579
13,0.8349514563106796,0.8053097345132744,0.7865168539325843,0.8446601941747572,0.7723577235772358,0.7865168539325843,0.79,0.8632478632478633
14,0.8333333333333334,0.7876106194690266,0.7865168539325843,0.8737864077669902,0.8130081300813008,0.797752808988764,0.8,0.8596491228070176
15,0.8602150537634409,0.7699115044247787,0.7415730337078652,0.8640776699029126,0.7560975609756098,0.7865168539325843,0.79,0.875
16,0.8148148148148148,0.8053097345132744,0.797752808988764,0.8737864077669902,0.7642276422764228,0.8202247191011236,0.77,0.8823529411764706
17,0.8723404255319149,0.8495575221238938,0.8089887640449438,0.883495145631068,0.8130081300813008,0.8651685393258427,0.83,0.859504132231405
18,0.9130434782608695,0.831858407079646,0.7528089887640449,0.8640776699029126,0.7642276422764228,0.8089887640449438,0.75,0.8793103448275862
19,0.8431372549019608,0.8141592920353983,0.7865168539325843,0.883495145631068,0.8048780487804879,0.8426966292134831,0.8,0.864406779661017
20,0.8090909090909091,0.8672566371681416,0.8089887640449438,0.9223300970873787,0.8130081300813008,0.8314606741573034,0.86,0.8728813559322034
21,0.7142857142857143,0.7876106194690266,0.7865168539325843,0.8737864077669902,0.7723577235772358,0.7752808988764045,0.79,0.8793103448275862
22,0.8829787234042553,0.7964601769911505,0.8202247191011236,0.9029126213592233,0.8048780487804879,0.8314606741573034,0.81,0.8803418803418803
23,0.8421052631578947,0.7876106194690266,0.8089887640449438,0.8932038834951457,0.7560975609756098,0.797752808988764,0.81,0.8666666666666667
24,0.8363636363636363,0.7964601769911505,0.797752808988764,0.8932038834951457,0.7723577235772358,0.8314606741573034,0.8,0.8695652173913043
